listing_id,name
1547153,Gym/Fitness
1547153,Common parking/Garage
1547153,On-site laundry
1547153,Bicycle Room
1547153,Storage
1547153,Common roof deck
1547153,Common Outdoor Space
1547153,Concierge
1547153,Live In Super
1547153,Children Playroom
1547153,Courtyard
1547153,Pied a Terre
1547153,Pets - Dogs ok
1547153,Pets - Cats ok
1547830,Washer/Dryer
1547830,Full-time doorman
1547830,Elevator
1547830,Gym/Fitness
1547830,Pool
1547830,On-site laundry
1547830,Bicycle Room
1547830,Storage
1547830,Lounge
1547830,Valet
1547830,Common roof deck
1547830,Wifi
1547830,City view
1547830,Concierge
1547830,Courtyard
1547830,Pied a Terre
1547830,Pets - Dogs ok
1547830,Pets - Cats ok
1548897,Full-time doorman
1548897,Elevator
1548897,Gym/Fitness
1548897,Common parking/Garage
1548897,On-site laundry
1548897,Bicycle Room
1548897,Storage
1548897,Common roof deck
1548897,Common Outdoor Space
1548897,River VIew
1548897,City view
1548897,Concierge
1548897,Live In Super
1548897,Children Playroom
1548897,Pied a Terre
1548897,Pets - Dogs ok
1548897,Pets - Cats ok
1550431,Full-time doorman
1550431,Elevator
1550431,Gym/Fitness
1550431,Common parking/Garage
1550431,On-site laundry
1550431,Bicycle Room
1550431,Storage
1550431,Common roof deck
1550431,Common Outdoor Space
1550431,City view
1550431,Concierge
1550431,Live In Super
1550431,Children Playroom
1550431,Pied a Terre
1550431,Pets - Dogs ok
1550431,Pets - Cats ok
1550514,Washer/Dryer
1550514,Full-time doorman
1550514,Elevator
1550514,Gym/Fitness
1550514,Pool
1550514,Common parking/Garage
1550514,On-site laundry
1550514,Storage
1550514,Valet
1550514,Wifi
1550514,Business Center
1550514,City view
1550514,Children Playroom
1550514,Courtyard
1550514,Pied a Terre
1550514,No pets
1550530,Full-time doorman
1550530,Elevator
1550530,Gym/Fitness
1550530,Common parking/Garage
1550530,On-site laundry
1550530,Bicycle Room
1550530,Storage
1550530,Common roof deck
1550530,Common Outdoor Space
1550530,City view
1550530,Concierge
1550530,Live In Super
1550530,Children Playroom
1550530,Pied a Terre
1550530,Pets - Dogs ok
1550530,Pets - Cats ok
1550550,Washer/Dryer
1550550,Full-time doorman
1550550,Elevator
1550550,Gym/Fitness
1550550,Storage
1550550,Valet
1550550,Common roof deck
1550550,River VIew
1550550,City view
1550550,Concierge
1550550,Live In Super
1550550,Pied a Terre
1550550,Pets - Dogs ok
1550550,Pets - Cats ok
1552680,Dishwasher
1552680,Hardwood
1552680,High Ceilings
1552680,Washer/Dryer
1552680,Full-time doorman
1552680,Elevator
1552680,Gym/Fitness
1552680,Common parking/Garage
1552680,On-site laundry
1552680,Valet
1552680,Concierge
1552680,Courtyard
1552680,Pied a Terre
1552680,Pets - Dogs ok
1552680,Pets - Cats ok
1552799,Full-time doorman
1552799,Elevator
1552799,Gym/Fitness
1552799,Pool
1552799,Common parking/Garage
1552799,Subway
1552799,Diplomats OK
1552799,On-site laundry
1552799,Storage
1552799,Lounge
1552799,Valet
1552799,Common roof deck
1552799,Common Outdoor Space
1552799,Concierge
1552799,Pets - Dogs ok
1552799,Pets - Cats ok
1553173,Garden
1553173,Dishwasher
1553173,Washer/Dryer
1553173,Full-time doorman
1553173,Elevator
1553173,Gym/Fitness
1553173,Pool
1553173,Common parking/Garage
1553173,New construction
1553173,On-site laundry
1553173,Bicycle Room
1553173,Storage
1553173,Valet
1553173,Common roof deck
1553173,Common Outdoor Space
1553173,Receiving Room
1553173,Concierge
1553173,Children Playroom
1553173,Sponsor Unit
1553173,Pets - Dogs ok
1553173,Pets - Cats ok
1553209,Washer/Dryer
1553209,Full-time doorman
1553209,Elevator
1553209,Gym/Fitness
1553209,Pool
1553209,Common parking/Garage
1553209,New construction
1553209,Bicycle Room
1553209,Storage
1553209,Valet
1553209,Common roof deck
1553209,Common Outdoor Space
1553209,Receiving Room
1553209,River VIew
1553209,Concierge
1553209,Children Playroom
1553209,Sponsor Unit
1553209,Pets - Dogs ok
1553209,Pets - Cats ok
1553337,Washer/Dryer
1553337,Full-time doorman
1553337,Elevator
1553337,Gym/Fitness
1553337,Common parking/Garage
1553337,On-site laundry
1553337,Bicycle Room
1553337,Storage
1553337,Common roof deck
1553337,Common Outdoor Space
1553337,Concierge
1553337,Live In Super
1553337,Children Playroom
1553337,Pied a Terre
1553337,Pets - Dogs ok
1553337,Pets - Cats ok
1553531,Garden
1553531,Dishwasher
1553531,Hardwood
1553531,High Ceilings
1553531,Washer/Dryer
1553531,Full-time doorman
1553531,Elevator
1553531,Gym/Fitness
1553531,Pool
1553531,Common parking/Garage
1553531,On-site laundry
1553531,Bicycle Room
1553531,Storage
1553531,Valet
1553531,River VIew
1553531,Courtyard
1553531,Pied a Terre
1553531,Basketball Court
1553531,Pets - Dogs ok
1553531,Pets - Cats ok
1553586,Pets - Dogs ok
1553586,Bike room
1553586,Common Outdoor Space
1553586,Concierge
1553586,Doorman
1553586,Elevator
1553586,Full-time doorman
1553586,Gym/Fitness
1553586,Live-in superintendent
1553586,Lounge room
1553586,New construction
1553586,On-site laundry
1553586,Parking Available
1553586,Pets - Cats ok
1553586,Pied-A-Terre Allowed
1553586,Playroom
1553586,Pool
1553586,Pre-War
1553586,Storage
1554580,Terrace
1554580,Washer/Dryer
1554580,Full-time doorman
1554580,Elevator
1554580,Gym/Fitness
1554580,Pool
1554580,Common parking/Garage
1554580,On-site laundry
1554580,Bicycle Room
1554580,Storage
1554580,Lounge
1554580,Valet
1554580,Common roof deck
1554580,Wifi
1554580,River VIew
1554580,City view
1554580,Concierge
1554580,Courtyard
1554580,Pied a Terre
1554580,Pets - Dogs ok
1554580,Pets - Cats ok
1555616,Washer/Dryer
1555616,Full-time doorman
1555616,Elevator
1555616,Gym/Fitness
1555616,Pool
1555616,Common parking/Garage
1555616,On-site laundry
1555616,Bicycle Room
1555616,Storage
1555616,Valet
1555616,River VIew
1555616,Children Playroom
1555616,Courtyard
1555616,Driveway
1555616,Pied a Terre
1555616,No pets
1555616,Concierge
1557816,Full-time doorman
1557816,Elevator
1557816,Gym/Fitness
1557816,Common parking/Garage
1557816,Subway
1557816,Diplomats OK
1557816,On-site laundry
1557816,Bicycle Room
1557816,Storage
1557816,Lounge
1557816,Valet
1557816,Common roof deck
1557816,Wifi
1557816,Common Outdoor Space
1557816,Receiving Room
1557816,Concierge
1557816,Children Playroom
1557816,Pied a Terre
1557925,Full-time doorman
1557925,Elevator
1557925,Gym/Fitness
1557925,Valet
1557925,Common roof deck
1557925,City view
1557925,Concierge
1557925,Live In Super
1557925,Pied a Terre
1557925,Pets - Dogs ok
1557925,Pets - Cats ok
1558049,Washer/Dryer
1558049,Full-time doorman
1558049,Elevator
1558049,Gym/Fitness
1558049,Pool
1558049,On-site laundry
1558049,Bicycle Room
1558049,Storage
1558049,Lounge
1558049,Valet
1558049,Common roof deck
1558049,Wifi
1558049,Concierge
1558049,Courtyard
1558049,Pied a Terre
1558049,Pets - Dogs ok
1558049,Pets - Cats ok
